Q_LEARN,Q_EVICT,Q_FLOOD,Q_BLOCK,Q_UNBLOCK,Q_INC_AGE,Q_DEC_AGE
-0.021,-0.0497,-0.1468,0.0,0.0,-0.0458,-0.0546
-0.0226,-0.0497,-0.1468,0.0,0.0,-0.0458,-0.0546
-0.0215,-0.0497,-0.1468,0.0,0.0,-0.0458,-0.0546
-0.0205,-0.0497,-0.1468,0.0,0.0,-0.0458,-0.0546
-0.0224,-0.0497,-0.1468,0.0,0.0,-0.0458,-0.0546
-0.0224,-0.0497,-0.1474,0.0,0.0,-0.0458,-0.0546
-0.0224,-0.0497,-0.1474,0.0,0.0,-0.0465,-0.0546
-0.0239,-0.0497,-0.1474,0.0,0.0,-0.0465,-0.0546
-0.0239,-0.0497,-0.148,0.0,0.0,-0.0465,-0.0546
-0.0239,-0.0497,-0.148,0.0,0.0,-0.0465,-0.0544
-0.0239,-0.0497,-0.148,0.0,0.0,-0.0465,-0.0542
-0.0252,-0.0497,-0.148,0.0,0.0,-0.0465,-0.0542
-0.0239,-0.0497,-0.148,0.0,0.0,-0.0465,-0.0542
-0.0227,-0.0497,-0.148,0.0,0.0,-0.0465,-0.0542
-0.0227,-0.0497,-0.148,0.0,0.0,-0.0465,-0.0539
-0.0243,-0.0497,-0.148,0.0,0.0,-0.0465,-0.0539
-0.0232,-0.0497,-0.148,0.0,0.0,-0.0465,-0.0539
-0.0221,-0.0497,-0.148,0.0,0.0,-0.0465,-0.0539
-0.0211,-0.0497,-0.148,0.0,0.0,-0.0465,-0.0539
-0.023,-0.0497,-0.148,0.0,0.0,-0.0465,-0.0539
-0.0221,-0.0497,-0.148,0.0,0.0,-0.0465,-0.0539
-0.0213,-0.0497,-0.148,0.0,0.0,-0.0465,-0.0539
-0.0213,-0.0497,-0.1482,0.0,0.0,-0.0465,-0.0539
-0.0232,-0.0497,-0.1482,0.0,0.0,-0.0465,-0.0539
-0.0222,-0.0497,-0.1482,0.0,0.0,-0.0465,-0.0539
-0.0213,-0.0497,-0.1482,0.0,0.0,-0.0465,-0.0539
-0.0228,-0.0497,-0.1482,0.0,0.0,-0.0465,-0.0539
-0.0217,-0.0497,-0.1482,0.0,0.0,-0.0465,-0.0539
-0.0207,-0.0497,-0.1482,0.0,0.0,-0.0465,-0.0539
-0.0207,-0.0497,-0.1482,0.0,0.0,-0.0465,-0.0537
-0.0207,-0.0497,-0.1511,0.0,0.0,-0.0465,-0.0537
-0.0207,-0.0497,-0.1511,0.0,0.0,-0.0471,-0.0537
